id,category,itemName,price,description
1,Tea,Bharer Cha,25,"Milky roadside tea, cardamom warmth, served in the spirit of a clay cup."
2,Tea,Lebu Cha,30,"Black tea with lemon, salt, and the sharp lift of a rainy College Street evening."
3,Tea,Adrak Cha,35,"Ginger-heavy tea for long conversations and monsoon throats."
4,Tea,Tulsi Malai Cha,45,"Holy basil, slow milk, and a soft cream finish."
5,Coffee,Filter Coffee,70,"South Indian decoction, foamed high, strong enough for a second act."
6,Coffee,Adda Cold Brew,95,"Steeped overnight, mellow and dark, with a jaggery note."
7,Coffee,Cinnamon Cappuccino,110,"A small café classic with cinnamon dust and a warm brown crema."
8,Quick Bites,Singara,30,"Crisp pastry, spiced potato, best eaten before the first argument cools."
9,Quick Bites,Buttered Toast,45,"Thick toast with salted butter, the old reliable companion to tea."
10,Quick Bites,Telebhaja Plate,65,"Seasonal fritters wrapped in paper-menu nostalgia."
11,Quick Bites,Banana Cake,80,"Soft, dark, not too sweet, baked for late afternoon readers."
